# of excluded QCs,[1],[1 ... 2],[1 ... 3],[1 ... 4],[1 ... 5],[1 ... 6],[1 ... 7],[1 ... 8],[1 ... 9]
2,0.078,0.313,0.771,0.928,0.961,0.965,0.968,0.996,0.995
3,0.079,0.272,0.723,0.909,0.950,0.955,0.945,0.988,0.989
4,0.067,0.248,0.662,0.862,0.916,0.919,0.917,0.957,0.966
