# of excluded Simulators,[1],[1 ... 2],[1 ... 3],[1 ... 4],[1 ... 5],[1 ... 6],[1 ... 7],[1 ... 8],[1 ... 9]
2,0.341,0.732,0.974,0.999,1.000,1.000,1.000,1.000,1.000
3,0.241,0.668,0.957,0.999,0.999,1.000,1.000,1.000,1.000
4,0.165,0.514,0.934,0.998,0.999,1.000,1.000,1.000,1.000
