# of excluded QCs,[1],[1 ... 2],[1 ... 3],[1 ... 4],[1 ... 5],[1 ... 6],[1 ... 7],[1 ... 8],[1 ... 9]
1,0.200,0.713,0.760,0.933,0.990,0.989,0.938,0.995,0.994
2,0.153,0.616,0.799,0.939,0.962,0.970,0.920,0.961,0.973
3,0.103,0.536,0.745,0.907,0.940,0.946,0.898,0.944,0.952
4,0.036,0.483,0.692,0.854,0.904,0.899,0.842,0.902,0.906
