excluded Simulator,[1],[1 ... 2],[1 ... 3],[1 ... 4],[1 ... 5],[1 ... 6],[1 ... 7],[1 ... 8],[1 ... 9]
aer_simulator,0.000,0.009,1.000,1.000,1.000,1.000,1.000,1.000,1.000
fake_vigo,0.999,0.960,1.000,1.000,1.000,1.000,1.000,1.000,1.000
fake_athens,0.035,0.426,0.899,1.000,1.000,1.000,1.000,1.000,1.000
fake_santiago,0.110,0.464,1.000,1.000,1.000,1.000,1.000,1.000,1.000
fake_lima,0.819,0.818,0.984,1.000,1.000,1.000,1.000,1.000,1.000
fake_belem,0.999,0.887,0.999,0.991,0.999,1.000,1.000,1.000,1.000
fake_cairo,0.000,0.530,1.000,1.000,1.000,1.000,1.000,1.000,1.000
