# of excluded Simulators,[1],[1 ... 2],[1 ... 3],[1 ... 4],[1 ... 5],[1 ... 6],[1 ... 7],[1 ... 8],[1 ... 9]
1,0.428,0.831,0.991,0.998,0.999,0.999,1.000,1.000,1.000
2,0.296,0.712,0.988,0.998,1.000,1.000,1.000,1.000,1.000
3,0.178,0.590,0.973,0.998,0.999,1.000,1.000,1.000,1.000
4,0.122,0.428,0.954,0.998,0.999,0.999,0.999,1.000,1.000
