excluded Simulator,[1],[1 ... 2],[1 ... 3],[1 ... 4],[1 ... 5],[1 ... 6],[1 ... 7],[1 ... 8],[1 ... 9]
aer_simulator,0.000,0.822,1.000,1.000,1.000,1.000,1.000,1.000,1.000
fake_vigo,0.910,0.943,1.000,1.000,1.000,1.000,1.000,1.000,1.000
fake_athens,0.798,0.816,0.991,1.000,1.000,1.000,1.000,1.000,1.000
fake_santiago,0.476,0.847,1.000,1.000,1.000,1.000,1.000,1.000,1.000
fake_lima,1.000,0.901,0.651,1.000,1.000,1.000,1.000,1.000,1.000
fake_belem,0.960,0.964,0.999,0.994,0.999,1.000,1.000,1.000,1.000
fake_cairo,0.000,0.739,1.000,1.000,1.000,1.000,1.000,1.000,1.000
