excluded QC,[1],[1 ... 2],[1 ... 3],[1 ... 4],[1 ... 5],[1 ... 6],[1 ... 7],[1 ... 8],[1 ... 9]
ibmq_athens,0.197,0.271,0.013,0.999,1.000,0.917,0.905,0.936,0.924
ibmq_santiago,0.212,0.620,0.694,0.798,0.999,0.842,0.677,0.982,0.921
ibmq_casablanca,0.467,0.386,0.970,0.999,0.999,1.000,1.000,1.000,1.000
ibmq_yorktown,0.920,0.967,1.000,1.000,1.000,1.000,1.000,1.000,1.000
ibmq_bogota,0.248,0.753,1.000,1.000,1.000,1.000,1.000,1.000,1.000
ibmq_quito,0.591,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
ibmq_lima,0.148,0.523,1.000,1.000,1.000,1.000,0.999,1.000,1.000
