excluded QC,[1],[1 ... 2],[1 ... 3],[1 ... 4],[1 ... 5],[1 ... 6],[1 ... 7],[1 ... 8],[1 ... 9]
ibmq_athens,0.117,0.453,0.112,0.991,0.979,0.992,0.959,0.981,0.999
ibmq_santiago,0.012,0.825,0.235,0.734,0.952,0.932,0.609,0.986,0.965
ibmq_casablanca,0.400,0.342,0.979,0.999,1.000,1.000,1.000,1.000,1.000
ibmq_5_yorktown,0.000,0.951,1.000,1.000,1.000,1.000,1.000,1.000,1.000
ibmq_bogota,0.194,0.646,1.000,0.812,1.000,1.000,1.000,1.000,1.000
ibmq_quito,0.553,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
ibmq_lima,0.129,0.777,1.000,1.000,1.000,1.000,1.000,1.000,0.999
