# of excluded Simulators,[1],[1 ... 2],[1 ... 3],[1 ... 4],[1 ... 5],[1 ... 6],[1 ... 7],[1 ... 8],[1 ... 9]
2,0.331,0.780,0.970,0.999,1.000,1.000,1.000,1.000,1.000
3,0.223,0.695,0.959,0.999,1.000,1.000,1.000,1.000,1.000
4,0.155,0.553,0.943,0.999,0.999,1.000,1.000,1.000,1.000
