excluded QC,[1],[1 ... 2],[1 ... 3],[1 ... 4],[1 ... 5],[1 ... 6],[1 ... 7],[1 ... 8],[1 ... 9]
ibmq_athens,0.136,0.438,0.432,1.000,0.983,0.997,0.984,1.000,1.000
ibmq_santiago,0.005,0.155,0.385,0.897,0.866,0.963,0.927,0.990,0.967
ibmq_casablanca,0.468,0.248,0.986,1.000,1.000,1.000,1.000,1.000,1.000
ibmq_5_yorktown,0.000,0.002,0.986,1.000,1.000,1.000,1.000,1.000,1.000
ibmq_bogota,0.005,0.015,0.812,0.812,0.812,0.812,1.000,1.000,1.000
ibmq_quito,0.393,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
ibmq_lima,0.015,0.069,1.000,0.999,1.000,0.999,1.000,1.000,1.000
