excluded QC,[1],[1 ... 2],[1 ... 3],[1 ... 4],[1 ... 5],[1 ... 6],[1 ... 7],[1 ... 8],[1 ... 9]
ibmq_athens,0.042,0.439,0.363,0.998,0.977,0.937,0.726,0.848,0.858
ibmq_santiago,0.036,0.524,0.195,0.795,0.911,0.834,0.738,0.938,0.899
ibmq_casablanca,0.051,0.393,0.993,1.000,1.000,1.000,1.000,1.000,1.000
ibmq_5_yorktown,0.921,0.961,1.000,1.000,1.000,1.000,1.000,1.000,1.000
ibmq_bogota,0.188,0.199,1.000,1.000,1.000,1.000,1.000,1.000,1.000
ibmq_quito,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
ibmq_lima,0.011,0.286,1.000,1.000,1.000,0.990,0.995,1.000,0.995
